ti_id	titel	jaar	druk	categorie	voornaam	voorvoegsel	achternaam	uitgever	plaats_van_uitgave	cc_land	genre	geplaatst	link naar DBNL.org	author_id	year_start	year_end	year_precision	decade_start	decade_end	is_anonymous	no_author_id	is_magazine	is_prose
kist001leve01	Het leven, gevoelens en zonderlinge reize van den landjonker Govert Hendrik Godefroi van Blankenheim tot den Stronk (2 delen)	1800	1ste druk	werk	Willem		Kist		Haarlem	nl	proza	kist001leve01_01	https://www.dbnl.org/tekst/kist001leve01_01	kist001	1800	1800	exact	1800	1800	False	False	False	True
stre001char01	Charakters en lotgevallen van Adelson, Héloïse en Elius	1804	1ste druk	werk	Naatje	van	Streek-Brinkman	Gerbrand Roos	Amsterdam	nl	proza	stre001char01_01	https://www.dbnl.org/tekst/stre001char01_01	stre001	1804	1804	exact	1800	1800	False	False	False	True
daal002will01	Willem Hups. Eene anecdote uit de XVII eeuw; ongelooflijk zelfs in de onze	1805	1ste druk	werk	Bruno		Daalberg	J. Immerzeel Jr.	Den Hage	nl	proza	daal002will01_01	https://www.dbnl.org/tekst/daal002will01_01	daal002	1805	1805	exact	1800	1800	False	False	False	True
bodd002leve01	Levensgeschiedenis van den vermaarden dichter	1805	1ste druk	uitgave	Pieter		Boddaert jr.			nl	proza	bodd002leve01_01	https://www.dbnl.org/tekst/bodd002leve01_01	bodd002	1805	1805	exact	1800	1800	False	False	False	True
loos005hist01	Historie van Mejuffrouw Susanna Bronkhorst. Deel 1	1806	1ste druk	werk	Adriaan		Loosjes			nl	proza	loos005hist01_01	https://www.dbnl.org/tekst/loos005hist01_01	loos005	1806	1806	exact	1800	1800	False	False	False	True
loos005hist02	Historie van Mejuffrouw Susanna Bronkhorst. Deel 2	1806	1ste druk	werk	Adriaan		Loosjes			nl	proza	loos005hist02_01	https://www.dbnl.org/tekst/loos005hist02_01	loos005	1806	1806	exact	1800	1800	False	False	False	True
loos005hist03	Historie van Mejuffrouw Susanna Bronkhorst. Deel 3	1806	1ste druk	werk	Adriaan		Loosjes			nl	proza	loos005hist03_01	https://www.dbnl.org/tekst/loos005hist03_01	loos005	1806	1806	exact	1800	1800	False	False	False	True
loos005hist04	Historie van Mejuffrouw Susanna Bronkhorst. Deel 4	1807	1ste druk	werk	Adriaan		Loosjes			nl	proza	loos005hist04_01	https://www.dbnl.org/tekst/loos005hist04_01	loos005	1807	1807	exact	1800	1800	False	False	False	True
loos005hist05	Historie van Mejuffrouw Susanna Bronkhorst. Deel 5	1807	1ste druk	werk	Adriaan		Loosjes			nl	proza	loos005hist05_01	https://www.dbnl.org/tekst/loos005hist05_01	loos005	1807	1807	exact	1800	1800	False	False	False	True
loos005hist06	Historie van Mejuffrouw Susanna Bronkhorst. Deel 6	1807	1ste druk	werk	Adriaan		Loosjes			nl	proza	loos005hist06_01	https://www.dbnl.org/tekst/loos005hist06_01	loos005	1807	1807	exact	1800	1800	False	False	False	True
